Location,Type,Lat,Long,Comment
Bountiful UT,Home,40.8894,-111.8808,1982-2005
Toronto ON,CTWM,43.6532,-79.3832,2001-2003
Windsor ON,CTWM,42.3149,-83.0364,2001
Georgetown ON,CTWM,43.6502,-79.9036,2001-2002
Guelph ON,CTWM,43.5448,-80.2482,2002
St Catharines ON,CTWM,43.1594,-79.2469,2002-2003
Dallas TX,Work,32.7767,-96.7970,Pest Control 2004
Rexburg ID,School,43.8231,-111.7924,2005-2009
Powder Springs GA,Home,33.8595,-84.6838,2009-2014
Rockville MD,Work,39.0840,-77.1528,2010 Actuarial University
St Paul MN,Interview,44.9537,-93.0900,2013 Travelers
Baltimore MD,Work,39.2904,-76.6122,2013 Actuarial University
San Antonio TX,Interview,29.4241,-98.4936,2013 USAA
Hartford CT,Work,41.7658,-72.6734,2013 Aetna Actuarial Forum
Olathe KS,Home,38.8814,-94.8191,2014-2015
San Francisco CA,Work,37.7749,-122.4194,Multiple
Las Vegas NV,Work,36.1699,-115.1398,Multiple Conferences
Lees Summit MO,Home,38.9108,-94.3822,2015-Present
Indianapolis IN,Work,39.7684,-86.1581,2015 Activate Healthcare
Laguardia NY,Work,40.7769,-73.8740,2015 Deloitte
Princeton NJ,Work,40.3573,-74.66722,2015 Deloitte
Minnetonka MN,Interview,44.9212,-93.4687,2017 UHC
Chicago IL,Work,41.8781,-87.6298,2017 Caravan
Berkeley CA,Work,37.8715,-122.2730,2017 Caravan
Phoenix AZ,Work,33.4484,-112.0740,Multiple/Caravan Symposium
Boston MA,Work,42.3601,-71.0589,2018 Conference
OKC OK,Work,35.4676,-97.5164,2018 Work
Austin TX,Work,30.2672,-97.7431,2019 Work
Detroit MI,Work,42.3314,-83.0458,2019 Work
Portland OR,Race,45.5051,-122.6750,2019 Richard Dean/Marathon
St George UT,Race,37.0965,-113.5684,2019 St George Marathon
Reno NV,Work,39.5296,-119.8138,2020 Caravan Coach Planning
